buy_value,sell_value,quantity,buy_wallet,sell_wallet,date_open,date_close,,,,,,,date_open,date_close
8630,8630,0.00011587,0.0000001,0.9999582,2/4/18 10:00 AM,2/4/18 10:00 AM,,,,,,,1.51776E+12,1.51776E+12
8481.95,8481.95,0.0001179,0.0000001,1.00002201,2/4/18 1:00 PM,2/4/18 1:00 PM,,,,,,,1.51777E+12,1.51777E+12
8349.04,8349.04,0.00011977,0.0000001,0.99996462,2/4/18 2:00 PM,2/4/18 2:00 PM,,,,,,,1.51777E+12,1.51777E+12
8204.02,8204.02,0.00012189,0.0000001,0.9999881,2/4/18 4:00 PM,2/4/18 4:00 PM,,,,,,,1.51778E+12,1.51778E+12
8081.83,8081.83,0.00012373,0.0000001,0.99996493,2/4/18 5:00 PM,2/4/18 5:00 PM,,,,,,,1.51778E+12,1.51778E+12
8444,8444,0.00011843,0.0000001,1.00002302,2/4/18 6:00 PM,2/4/18 6:00 PM,,,,,,,1.51779E+12,1.51779E+12
8300.03,8300.03,0.00012048,0.0000001,0.99998771,2/5/18 12:00 AM,2/5/18 12:00 AM,,,,,,,1.51781E+12,1.51781E+12
7699.99,7699.99,0.00012987,0.0000001,0.9999978,2/5/18 6:00 AM,2/5/18 6:00 AM,,,,,,,1.51783E+12,1.51783E+12
7578,7578,0.00013196,0.0000001,0.99999298,2/5/18 7:00 AM,2/5/18 7:00 AM,,,,,,,1.51783E+12,1.51783E+12
7682.05,7682.05,0.00013017,0.0000001,0.99997255,2/5/18 8:00 AM,2/5/18 8:00 AM,,,,,,,1.51784E+12,1.51784E+12
7636.18,7636.18,0.00013096,0.0000001,1.00003423,2/5/18 9:00 AM,2/5/18 9:00 AM,,,,,,,1.51784E+12,1.51784E+12
7295.01,7295.01,0.00013708,0.0000001,1.00000007,2/5/18 12:00 PM,2/5/18 12:00 PM,,,,,,,1.51785E+12,1.51785E+12
7089.99,7089.99,0.00014104,0.0000001,0.99997229,2/5/18 1:00 PM,2/5/18 1:00 PM,,,,,,,1.51785E+12,1.51785E+12
6698.33,6698.33,0.00014929,0.0000001,0.99999379,2/5/18 3:00 PM,2/5/18 3:00 PM,,,,,,,1.51786E+12,1.51786E+12
7188.38,7188.38,0.00013911,0.0000001,0.99997564,2/5/18 4:00 PM,2/5/18 4:00 PM,,,,,,,1.51786E+12,1.51786E+12
7147.97,7147.97,0.0001399,0.0000001,1.0000011,2/5/18 5:00 PM,2/5/18 5:00 PM,,,,,,,1.51787E+12,1.51787E+12
6859.98,6859.98,0.00014577,0.0000001,0.99997938,2/5/18 6:00 PM,2/5/18 6:00 PM,,,,,,,1.51787E+12,1.51787E+12
6327.05,6327.05,0.00015805,0.0000001,0.99999035,2/5/18 11:00 PM,2/5/18 11:00 PM,,,,,,,1.51789E+12,1.51789E+12
6109.08,6109.08,0.00016369,0.0000001,0.99999541,2/6/18 12:00 AM,2/6/18 12:00 AM,,,,,,,1.51789E+12,1.51789E+12
6497.98,6497.98,0.00015389,0.0000001,0.99997424,2/6/18 1:00 AM,2/6/18 1:00 AM,,,,,,,1.5179E+12,1.5179E+12
6250.79,6250.79,0.00015998,0.0000001,1.00000148,2/6/18 2:00 AM,2/6/18 2:00 AM,,,,,,,1.5179E+12,1.5179E+12
6043,6043,0.00016548,0.0000001,0.99999574,2/6/18 3:00 AM,2/6/18 3:00 AM,,,,,,,1.5179E+12,1.5179E+12
6668.77,6668.77,0.00014995,0.0000001,0.99998216,2/6/18 5:00 AM,2/6/18 5:00 AM,,,,,,,1.51791E+12,1.51791E+12
8290,8290,0.00012063,0.0000001,1.0000228,2/10/18 12:28 PM,2/10/18 12:28 PM,,,,,,,1.51828E+12,1.51828E+12
8360.06,8360.06,0.00011962,0.0000001,1.00003048,2/10/18 1:28 PM,2/10/18 1:28 PM,,,,,,,1.51829E+12,1.51829E+12
8286.06,8286.06,0.00012068,0.0000001,0.99996182,2/10/18 2:28 PM,2/10/18 2:28 PM,,,,,,,1.51829E+12,1.51829E+12
7925.49,7925.49,0.00012618,0.0000001,1.00003843,2/11/18 12:00 AM,2/11/18 12:00 AM,,,,,,,1.51833E+12,1.51833E+12
8100,8100,0.00012346,0.0000001,1.0000261,2/11/18 1:00 AM,2/11/18 1:00 AM,,,,,,,1.51833E+12,1.51833E+12
8011.35,8011.35,0.00012482,0.0000001,0.99997681,2/11/18 2:00 AM,2/11/18 2:00 AM,,,,,,,1.51833E+12,1.51833E+12
8125.89,8125.89,0.00012306,0.0000001,0.99997212,2/11/18 5:00 AM,2/11/18 5:00 AM,,,,,,,1.51834E+12,1.51834E+12
7988.1,7988.1,0.00012519,0.0000001,1.00003034,2/11/18 6:00 AM,2/11/18 6:00 AM,,,,,,,1.51835E+12,1.51835E+12
8491.04,8491.04,0.00011777,0.0000001,0.99998988,2/13/18 6:00 AM,2/13/18 6:00 AM,,,,,,,1.51852E+12,1.51852E+12
8531.47,8531.47,0.00011721,0.0000001,0.9999737,2/13/18 7:00 AM,2/13/18 7:00 AM,,,,,,,1.51852E+12,1.51852E+12
8586.7,8586.7,0.00011646,0.0000001,1.00000718,2/13/18 8:00 AM,2/13/18 8:00 AM,,,,,,,1.51853E+12,1.51853E+12
10589.76,10589.76,0.00009443,0.0000001,0.99999114,2/18/18 3:00 AM,2/18/18 3:00 AM,,,,,,,1.51894E+12,1.51894E+12
10333.94,10333.94,0.00009677,0.0000001,1.00001547,2/18/18 4:00 AM,2/18/18 4:00 AM,,,,,,,1.51894E+12,1.51894E+12
10470,10470,0.00009551,0.0000001,0.9999898,2/18/18 6:00 AM,2/18/18 6:00 AM,,,,,,,1.51895E+12,1.51895E+12
